,index_found,forward_difference,subsequence,memory_station
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].59",71910,839,1760435095,0x7efc024541b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].60",72009,99,1362059091,0x7efc7b900d30
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].61",72797,788,5322451031,0x7efc02454210
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].62",72889,92,5304257257,0x7efc7b900c50
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].63",73179,290,9728655413,0x7efc02454270
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].64",74171,992,5168811439,0x7efc02454310
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].65",74717,546,7106411439,0x7efc02454370
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].66",77150,2433,7168251279,0x7efc02454410
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].67",80042,2892,3104477819,0x7efc02454430
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].68",80555,513,1526879855,0x7efc024544d0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].69",81597,1042,5504093671,0x7efc024544f0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].70",84345,2748,7742237459,0x7efc02454550
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].71",85043,698,9520617293,0x7efc024545b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].72",85334,291,5564459477,0x7efc02454650
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].73",85659,325,1524493011,0x7efc024546b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].74",86481,822,3506475619,0x7efc024546d0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].75",86864,383,9700653659,0x7efc02454790
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].76",87370,506,5548035851,0x7efc024547b0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].77",87699,329,3780079271,0x7efc02454850
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].78",89611,1912,9106613859,0x7efc02454870
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].79",89704,93,9308873411,0x7efc7b900c70
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].80",90276,572,5508617677,0x7efc02454910
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].81",90898,622,7104213273,0x7efc02454970
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].82",91846,948,7520471871,0x7efc024549d0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].83",96239,4393,7346299219,0x7efc02454a70
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].84",97018,779,5520095693,0x7efc02454ad0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].85",98323,1305,7564451039,0x7efc02454b30
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].86",98572,249,5944295679,0x7efc7b901ff0
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1].87",98915,343,5328059431,0x7efc02454bd0
